"MN_NAME","pop2013","pop2013adj","emp2013","emp2013adj","unemp2013","unemp2013adj","GDPM2011","GDPM2011adj"
"Nelson Mandela Bay",1179075,1162306,296720,355586,134553,145546,98415938316,110431059424
"Buffalo City",772872,761880,189406,226982,80467,87041,46637831321,52331616303
"King Sabata Dalindyebo",462280,455706,60315,72280,29446,31852,8485608569,9521575064
"Kouga",100864,99430,30845,36965,6637,7179,7243315091,8127616044
"Lukanji",195186,192410,34412,41239,15780,17069,4678097984,5249224113
"Makana",82271,81101,19669,23571,7451,8059,4387916732,4923616049
"Ndlambe",62608,61717,15528,18608,5305,5738,2804925413,3147365053
"Blue Crane Route",36844,36320,7602,9110,2655,2872,1951467829,2189713002
"Maletswai",44825,44187,10888,13048,3119,3374,1951031400,2189223293
"Inxuba Yethemba",67094,66140,17216,20631,4680,5062,1928577159,2164027722
"Camdeboo",52186,51444,12573,15068,4262,4610,1855300828,2081805442
"Matatiele",208613,205646,24710,29612,12265,13267,1254120689,1407230157
"Sundays River Valley",55779,54986,16449,19712,2289,2476,1196162995,1342196692
"Gariep",34465,33975,8424,10096,2300,2487,1054127368,1182820629
"Elundini",141374,139363,14528,17411,9111,9855,971969719,1090632754
"Nkonkobe",130090,128239,14593,17488,10644,11514,967823649,1085980511
"Amahlathi",125651,123864,17689,21199,7847,8488,952461369,1068742725
"Senqu",137289,135337,18665,22368,8076,8736,736145626,826018049
"Kou-Kamma",41615,41023,15269,18298,2128,2302,714149634,801336674
"Nxuba",24832,24479,4893,5864,2793,3021,582195503,653272908
"Great Kei",39903,39336,6829,8184,2280,2467,568840794,638287787
"Mnquma",258296,254623,24503,29364,15298,16548,511123136,573523663
"Ngquza Hill",284997,280944,18943,22701,15865,17161,493033179,553225191
"Mbizana",288502,284399,19776,23699,12042,13026,490087287,549919649
"Umzimvubu",196104,193315,18830,22565,12580,13608,441163662,495023178
"Emalahleni",122255,120517,9555,11451,6493,7024,406423960,456042276
"Intsika Yethu",148774,146658,10983,13162,7534,8149,402125140,451218634
"Baviaans",18177,17918,4167,4994,1365,1476,401666890,450704439
"Engcobo",159152,156889,11720,14046,7746,8379,376725006,422717522
"Inkwanca",22485,22165,4165,4991,2123,2297,345782232,387997095
"Tsolwana",34060,33575,4505,5398,2189,2367,335089736,375999205
"Sakhisizwe",65070,64144,9157,10973,4560,4933,321494991,360744743
"Mhlontlo",192631,189891,15057,18044,11327,12253,316432421,355064109
"Mbhashe",260874,257164,18181,21788,10509,11368,257841907,289320565
"Nyandeni",297185,292959,21140,25334,13486,14588,239948342,269242462
"Port St Johns",159790,157517,8170,9791,6509,7041,198465821,222695543
"Ikwezi",10784,10630,2733,3276,482,521,186594968,209375436
"Ngqushwa",73879,72829,6488,7775,5712,6179,144414162,162044981
"Ntabankulu",126877,125073,6949,8327,5609,6067,117442886,131780914
"Mangaung",764921,749503,216537,238583,65354,93962,49082790578,57518729495
"Matjhabeng",415972,407588,101905,112280,47089,67701,21105110712,24732480361
"Maluti a Phofung",343641,336715,54063,59567,30577,43961,14150493017,16582561230
"Metsimaholo",152597,149521,45262,49871,16855,24233,9816366087,11503520866
"Dihlabeng",131716,129061,34609,38132,10985,15794,6173367192,7234393836
"Moqhaka",164288,160977,36855,40608,15733,22620,5572165232,6529862318
"Ngwathe",123340,120854,26215,28884,11200,16103,5443571600,6379167090
"Setsoto",115232,112909,21979,24217,9589,13787,2982377205,3494963218
"Nala",83121,81445,16143,17787,7101,10209,2813326660,3296857681
"Mafube",59230,58036,12063,13291,4765,6851,2118488983,2482597124
"Mantsopa",52251,51198,12106,13338,3933,5654,1785406818,2092267586
"Nketoana",61736,60491,13709,15105,4711,6773,1765549325,2068997154
"Letsemeng",39532,38735,9371,10325,2111,3035,1590345138,1863680340
"Masilonyana",64816,63510,11664,12852,5815,8360,1472225788,1725259625
"Kopanong",50322,49307,11593,12773,3374,4850,1471723895,1724671471
"Mohokare",34945,34241,7846,8644,2831,4070,833360055,976591001
"Phumelela",48890,47904,10923,12035,2916,4192,820048989,960992140
"Tswelopele",48739,47757,9913,10923,4163,5985,768484972,900565732
"Naledi",24883,24381,4836,5328,1365,1963,608446672,713021390
"Tokologo",29664,29066,6768,7457,2015,2897,429074595,502820342
"City of Johannesburg",4538602,4599661,1734907,1586630,454577,459247,494482055425,408989975181
"Ekurhuleni",3252847,3296608,1152341,1053854,366584,370350,308136593423,254862186228
"City of Tshwane",2989851,3030074,1103694,1009364,277875,280729,288343102843,238490835372
"Emfuleni",738550,748486,207126,189424,86538,87427,51925641620,42948104273
"Mogale City",370903,375893,137681,125914,35279,35641,27927381491,23098955640
"Merafong City",202142,204861,68143,62319,20023,20229,12012277470,9935448639
"Midvaal",97531,98843,38181,34918,6936,7007,11671863308,9653889423
"Randfontein",152779,154835,52645,48145,15426,15584,10955247853,9061171176
"Lesedi",101849,103219,32231,29476,8884,8976,5949588524,4920951197
"Westonaria",114382,115921,41503,37956,13670,13811,4634804285,3833482871
"eTthekwini",3522913,3505928,1015019,1212027,346235,308712,338949268619,311144506843
"Msunduzi",633010,629958,157392,187940,60959,54353,45805584158,42048050293
"uMhlathuze",342285,340635,87819,104864,31003,27643,29384070428,26973629828
"Newcastle",371736,369944,64393,76891,30322,27036,18608391045,17081903373
"KwaDukuza",236597,235456,69966,83546,18313,16328,13358135411,12262337877
"Hibiscus Coast",262129,260865,65647,78388,20117,17937,8652040545,7942294431
"Emnambithi/Ladysmith",242993,241822,48729,58187,19792,17647,7212350495,6620705355
"uMngeni",94879,94422,31542,37664,7814,6967,4797352048,4403814598
"Abaqulusi",215999,214957,28206,33681,12163,10845,4247386783,3898964206
"Umtshezi",85099,84689,13644,16292,6276,5596,3816020939,3502984261
"Greater Kokstad",67525,67199,19275,23017,6158,5491,3216193728,2952362209
"Endumeni",66380,66060,15573,18595,4397,3921,2958984642,2716252556
"uMlalazi",218599,217545,25353,30274,10846,9671,2615100874,2400578338
"Umdoni",80721,80332,17076,20390,6708,5981,1932286800,1773777020
"Ulundi",192724,191794,15478,18483,11912,10621,1634446229,1500368973
"Umvoti",105505,104997,17120,20443,5878,5241,1607693168,1475810524
"Mpofana",38995,38807,10419,12441,2575,2296,1324232913,1215603144
"Mandeni",141309,140628,30316,36200,9538,8504,969983970,890414029
"UPhongolo",130215,129588,18622,22236,8081,7205,875475397,803658205
"uMshwathi",108863,108338,21792,26022,5695,5078,709807171,651580112
"UMuziwabantu",98815,98339,11380,13589,4416,3938,680391896,624577837
"Mthonjaneni",48937,48701,7740,9243,2430,2167,530675129,487142669
"Mtubatuba",179530,178664,20670,24682,10413,9285,528405701,485059407
"Okhahlamba",135158,134507,14028,16751,8449,7533,514025385,471858741
"Emadlangeni",35248,35078,5950,7104,2821,2515,457202406,419697076
"eDumbe",83973,83568,9812,11717,4677,4170,429314630,394096997
"Nqutu",169175,168360,10171,12145,6391,5698,392720108,360504405
"Jozini",190866,189946,16311,19477,10105,9010,328652417,301692329
"Kwa Sani",13200,13136,5384,6429,809,721,294065465,269942621
"Ubuhlebezwe",104071,103569,12853,15348,5216,4651,284573147,261228979
"Richmond",67333,67008,13639,16286,3824,3410,252452016,231742816
"Dannhauser",104552,104048,11098,13252,7920,7061,251688266,231041718
"Nkandla",117093,116529,7063,8434,4343,3873,241694055,221867355
"Umzimkhulu",184521,183631,14973,17880,10268,9155,236849700,217420393
"Hlabisa",73608,73253,5518,6589,4814,4292,196436429,180322312
"Maphumulo",98987,98510,5591,6676,4228,3770,166170118,152538814
"Mkhambathini",64620,64308,13748,16417,3953,3525,163071477,149694361
"The Big 5 False Bay",36083,35909,5469,6531,1553,1385,155106658,142382914
"Mfolozi",125765,125158,16864,20137,9617,8574,143104877,131365666
"Nongoma",199469,198507,13128,15677,10033,8945,142428413,130744693
"Ingwe",102901,102405,10809,12907,5516,4919,131037631,120288323
"Umhlabuyalingana",160404,159630,12289,14674,8601,7669,104022712,95489498
"Msinga",181732,180856,8827,10541,6821,6081,101295035,92985578
"Ndwedwe",144115,143420,11568,13813,8657,7719,94661323,86896044
"Imbabazane",115719,115161,10914,13033,8114,7234,89664218,82308862
"Umzumbe",164742,163948,12916,15423,10946,9760,80586507,73975816
"Impendle",33880,33716,2400,2866,1551,1383,52698731,48375737
"Vulamehlo",79214,78832,6027,7197,5271,4700,48596304,44609841
"Ezingoleni",53769,53510,6009,7175,3367,3002,34674237,31829833
"Ntambanana",76075,75709,6796,8116,5172,4611,27756847,25479891
"Indaka",105529,105020,4448,5312,4680,4173,15515030,14242298
"Polokwane",643718,642165,159214,191918,60171,35206,21132365667,59928262050
"Greater Tzaneen",399223,398260,75145,90580,34225,20025,7628703201,21633873450
"Makhado",528106,526832,80550,97096,36774,21517,6543000237,18554980497
"Mogalakwena",314882,314122,48102,57983,25433,14881,6120188390,17355948663
"Ba-Phalaborwa",154162,153790,34727,41861,16319,9548,4029194398,11426199107
"Lepele-Nkumpi",235740,235172,28136,33915,20550,12024,3198845698,9071453064
"Lephalale",118476,118190,36126,43547,8126,4755,3182108669,9023989324
"Bela-Bela",68056,67892,21189,25541,4829,2826,2823451799,8006891512
"Modimolle",70116,69947,20165,24307,4533,2652,2583656207,7326866696
"Thabazimbi",87228,87018,33663,40577,6889,4031,2417551553,6855818476
"Musina",69959,69790,26167,31542,4742,2774,2005366738,5686923332
"Thulamela",632934,631407,77302,93181,47405,27736,1859883326,5274353904
"Elias Motsoaledi",255198,254583,32932,39696,19451,11381,1628750839,4618896370
"Mookgopong",36474,36386,12359,14898,2981,1744,1475869965,4185348836
"Greater Tubatse",343531,342702,50643,61045,40407,23642,1464893791,4154222029
"Ephraim Mogale",126541,126236,18765,22620,10415,6094,1040205302,2949868315
"Greater Letaba",217678,217153,28468,34315,15131,8853,773285684,2192923776
"Makhuduthamaga",280778,280101,19976,24079,26375,15432,753537298,2136920277
"Greater Giyani",249932,249329,26045,31395,18181,10638,519175241,1472304159
"Blouberg",166435,166033,16197,19524,8232,4816,499230462,1415743719
"Maruleng",97077,96842,13798,16633,7197,4211,441992876,1253426393
