hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
103034,301011,3,3,2844.2944,-9,,,,1,4
103037,301012,3,3,11367.377,66,2,162,72.7,1,4
103037,301013,3,3,11367.377,26,1,161,62,1,4
103037,301014,3,3,11367.377,78,2,156,75.2,1,4
103050,301015,3,3,15400,46,2,170,108,1,4
103046,301016,3,4,5277.9326,-9,,,,1,4
103046,301017,3,4,5277.9326,-9,,,,1,4
103049,301018,3,4,5096.4043,52,2,161,107,1,4
103049,301019,3,4,5096.4043,25,2,-8,-8,1,4
103049,301020,3,4,5096.4043,80,1,-8,-8,1,4
103034,301022,3,3,2844.2944,17,2,165,55.8,1,4
107090,301023,3,3,2081.2605,17,1,176,72.5,1,4
103034,301024,3,3,2844.2944,-9,,,,1,4
103045,301025,3,5,18000.529,47,1,-8,-8,1,4
103052,301026,3,5,5129.2612,68,1,160,49.2,1,4
103059,301027,3,4,3887.6909,25,2,162,66.40000000000001,1,4
103046,301028,3,4,5277.9326,-9,,,,1,4
103045,301029,3,5,18000.529,38,2,-8,-8,1,4
103058,301031,3,4,10944.588,41,2,162,74.2,1,4
103058,301033,3,4,10944.588,25,,,,1,4
103045,301034,3,5,18000.529,62,1,171,87.2,1,4
103045,301035,3,5,18000.529,63,2,156,69.90000000000001,1,4
103049,301036,3,4,5096.4043,77,2,-8,-8,1,4
103058,301038,3,4,10944.588,21,2,-8,-8,1,4
103046,301040,3,4,5277.9326,51,2,159,105,1,4
103058,301041,3,4,10944.588,66,1,186,50,1,4
103050,301043,3,3,15400,38,1,168,83.59999999999999,1,4
103052,301045,3,5,5129.2612,69,2,167,106,1,4
103006,301047,3,4,14267,16,1,162,49.3,1,4
103013,301048,3,4,26921.973,34,1,187,90.3,1,4
103021,301049,3,2,2870,37,2,160,64.2,1,3
103025,301050,3,4,8983.333,35,1,171.4,59,1,3
103025,301051,3,4,8983.333,17,1,169.3,47.7,1,3
103009,301052,3,5,16719.008,82,1,163,56,1,4
103013,301053,3,4,26921.973,20,2,170,90.8,1,4
103006,301054,3,4,14267,47,1,182,72.7,1,4
103022,301055,3,2,12500,43,1,185,71.40000000000001,1,4
103013,301056,3,4,26921.973,36,2,173,75,1,4
103025,301057,3,4,8983.333,59,1,167.8,77.40000000000001,1,3
103025,301058,3,4,8983.333,60,2,154.3,66.3,1,3
103026,301059,3,4,650,17,2,150,52.3,1,1
103011,301060,3,2,17959.166,54,2,159,92.7,1,4
103007,301061,3,4,13890.695,41,,,,1,
103026,301062,3,4,650,35,2,161,96.09999999999999,1,1
103006,301064,3,4,14267,43,2,164,70.40000000000001,1,4
103009,301065,3,5,16719.008,65,2,164,108,1,4
103009,301066,3,5,16719.008,47,2,163,137,1,4
